,Unnamed: 0,lyric,line,track_title,album,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,Without Stopwords,With Lemmatization,Without Stopwords and With Lemmatization,Lowercase and Expanded Contraction
87,87,"So I drive home alone, as I turn off the light",27,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,drive home alone turn light,so i drive home alone a i turn off the light,drive home alone turn light,so i drive home alone as i turn off the light
88,88,I will put his picture down and maybe get some sleep tonight,28,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,put picture maybe get sleep tonight,i will put his picture down and maybe get some sleep tonight,put picture maybe get sleep tonight,i will put his picture down and maybe get some sleep tonight
89,89,The only one who is got enough of me to break my heart,30,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,one got enough break heart,the only one who be get enough of me to break my heart,one get enough break heart,the only one who is got enough of me to break my heart
90,90,"he is the time taken up, but there is never enough",33,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,time taken never enough,he be the time take up but there be never enough,time take never enough,he is the time taken up but there is never enough
91,91,And he is all that I need to fall into,34,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,need fall,and he be all that i need to fall into,need fall,and he is all that i need to fall into
92,92,"I do not know what I want, so do not ask me",1,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.881,0.0324,0.428,115.028,know want ask,i do not know what i want so do not ask me,know want ask,i do not know what i want so do not ask me
93,93,because I am still trying to figure it out,2,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.881,0.0324,0.428,115.028,still trying figure,because i be still try to figure it out,still try figure,because i am still trying to figure it out
94,94,"do not know what is down this road, I am just walking",3,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.881,0.0324,0.428,115.028,know road walking,do not know what be down this road i be just walk,know road walk,do not know what is down this road i am just walking
95,95,Trying to see through the rain coming down,4,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.881,0.0324,0.428,115.028,trying see rain coming,try to see through the rain come down,try see rain come,trying to see through the rain coming down
96,96,Even though I am not the only one,5,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.881,0.0324,0.428,115.028,even though one,even though i be not the only one,even though one,even though i am not the only one
97,97,Who feels the way I do,6,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.881,0.0324,0.428,115.028,feels way,who feel the way i do,feel way,who feels the way i do
98,98,"I am alone, on my own, and that is all I know",7,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.881,0.0324,0.428,115.028,alone know,i be alone on my own and that be all i know,alone know,i am alone on my own and that is all i know
99,99,"I will be strong, I will be wrong, oh but life goes on",8,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.881,0.0324,0.428,115.028,strong wrong oh life goes,i will be strong i will be wrong oh but life go on,strong wrong oh life go,i will be strong i will be wrong oh but life goes on
100,100,"Oh, I am just a girl, trying to find a place in this world",9,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.881,0.0324,0.428,115.028,oh girl trying find place world,oh i be just a girl try to find a place in this world,oh girl try find place world,oh i am just a girl trying to find a place in this world
101,101,"Got the radio on, my old blue jeans",10,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.881,0.0324,0.428,115.028,got radio old blue jeans,get the radio on my old blue jean,get radio old blue jean,got the radio on my old blue jeans
